id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
549,What's the largest known galaxy?,IC 1101,Milky Way,Andromeda,M87,2,Astronomy,Galaxies
550,What are dwarf galaxies?,Small galaxies,Dead galaxies,New galaxies,Binary galaxies,1,Astronomy,Galaxies
551,What is a galactic collision?,Galaxy merger,Star explosion,Black hole formation,Nova event,2,Astronomy,Galaxies
552,What is a quasar?,Active galactic nucleus,Dead star,New galaxy,Cosmic ray,3,Astronomy,Galaxies
553,What is the closest star to Earth?,Sun,Proxima Centauri,Alpha Centauri,Sirius,0,Astronomy,Stars
554,What color is the hottest star?,Blue,Red,Yellow,White,1,Astronomy,Stars
555,What is a binary star system?,Two orbiting stars,Double planet,Twin galaxies,Dual moons,1,Astronomy,Stars
556,What is the Sun's spectral type?,G2V,O5V,B3V,K0V,2,Astronomy,Stars
557,What is a white dwarf?,Dead star core,New star,Gas giant,Brown dwarf,1,Astronomy,Stellar Evolution
558,What is stellar nucleosynthesis?,Element creation,Star death,Galaxy formation,Planet birth,2,Astronomy,Stellar Evolution
559,What is the Chandrasekhar limit?,1.4 solar masses,2.0 solar masses,1.0 solar masses,3.0 solar masses,3,Astronomy,Stellar Evolution
560,What is pair-instability supernova?,Very massive star death,Binary star explosion,Neutron star collision,Black hole merger,3,Astronomy,Stellar Evolution
561,What is dark matter?,Invisible mass,Black holes,Dark energy,Cosmic dust,1,Astronomy,Cosmology
562,What is the cosmic microwave background?,Early universe radiation,Galaxy radiation,Star light,Solar wind,2,Astronomy,Cosmology
563,What is the Hubble constant?,Universe expansion rate,Star formation rate,Galaxy rotation,Cosmic inflation,2,Astronomy,Cosmology
564,What is cosmic inflation?,Early universe expansion,Galaxy growth,Star formation,Planet formation,3,Astronomy,Cosmology
565,What causes a solar eclipse?,Moon blocks Sun,Earth blocks Sun,Clouds block Sun,Planet blocks Sun,0,Astronomy,Phenomena
566,What is a meteor shower?,Many shooting stars,Rain storm,Solar flares,Aurora,0,Astronomy,Phenomena
567,What causes seasons?,Earth's tilt,Distance from Sun,Solar activity,Moon phases,1,Astronomy,Phenomena
568,What is gravitational lensing?,Light bending,Star death,Galaxy collision,Black hole formation,2,Astronomy,Phenomena
569,What is an astronomical unit?,Earth-Sun distance,Light year,Parsec,Galaxy radius,1,Astronomy,Measurements
570,What is a light year?,Distance light travels in a year,Star brightness,Galaxy size,Universe age,1,Astronomy,Measurements
571,What is parallax?,Star distance method,Galaxy rotation,Planet orbit,Star brightness,2,Astronomy,Measurements
572,What is redshift?,Light wavelength increase,Star color,Galaxy spin,Cosmic rays,2,Astronomy,Measurements
573,What is a gamma-ray burst?,Intense radiation burst,Solar flare,Star birth,Galaxy collision,2,Astronomy,Space Phenomena
574,What is a magnetar?,Magnetic neutron star,Black hole type,Galaxy core,Star cluster,3,Astronomy,Space Phenomena
575,What is Hawking radiation?,Black hole emission,Star light,Galaxy rays,Cosmic background,3,Astronomy,Space Phenomena
576,What is frame dragging?,Spacetime distortion,Planet rotation,Star movement,Galaxy spin,3,Astronomy,Space Phenomena
577,What type of telescope uses mirrors?,Reflector,Refractor,Radio,X-ray,0,Astronomy,Instrumentation
578,What is interferometry?,Combining telescopes,Light filtering,Star tracking,Planet finding,2,Astronomy,Instrumentation
579,What is adaptive optics?,Atmosphere correction,Light collection,Wave detection,Signal processing,2,Astronomy,Instrumentation
580,What is a coronagraph?,Star light blocker,Planet finder,Galaxy imager,Nebula detector,3,Astronomy,Instrumentation
581,What causes solar wind?,Sun's atmosphere,Earth's magnetic field,Cosmic rays,Stellar radiation,1,Astronomy,Solar Physics
582,What is the solar corona?,Sun's outer atmosphere,Sun's core,Sun's surface,Sun's spots,1,Astronomy,Solar Physics
583,What is magnetic reconnection?,Field line breaking,Solar wind flow,Corona heating,Flare production,2,Astronomy,Solar Physics
584,What is helioseismology?,Sun vibration study,Solar wind analysis,Corona heating,Flare prediction,3,Astronomy,Solar Physics
585,What is the Oort Cloud?,Comet repository,Asteroid belt,Dust cloud,Gas cloud,2,Astronomy,Solar System
586,What are Trojan asteroids?,Orbital companions,Main belt objects,Meteor sources,Comet fragments,2,Astronomy,Solar System
